( Z, Y, Age) = 0.004988   0.242  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -3.25  0.9274E+01   0.967      0.75  0.4010E+03   2.603     -3.25  0.0000E+00   0.000
 -3.50  0.7881E+01   0.897      0.50  0.6363E+03   2.804     -3.50  0.0000E+00   0.000
 -3.75  0.2832E+01   0.452      0.25  0.7530E+02   1.877     -3.75  0.0000E+00   0.000
 -4.00  0.8684E+00  -0.061      0.00  0.6251E+02   1.796     -4.00  0.0000E+00   0.000
 -4.25  0.7280E+00  -0.138     -0.25  0.5225E+02   1.718     -4.25  0.0000E+00   0.000
 -4.50  0.4825E+00  -0.316     -0.50  0.4373E+02   1.641     -4.50  0.0000E+00   0.000
 -4.75  0.5439E-01  -1.264     -0.75  0.3566E+02   1.552     -4.75  0.0000E+00   0.000
 -5.00  0.0000E+00   0.000     -1.00  0.2944E+02   1.469     -5.00  0.0000E+00   0.000
 -5.25  0.0000E+00   0.000     -1.25  0.3044E+02   1.483     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.2357E+02   1.372     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.1066E+02   1.028     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.2866E-01  -1.543     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.0000E+00   0.000     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.0000E+00   0.000     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.3861E+06   5.587     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.2592E+06   5.414     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.2699E+06   5.431     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.2804E+06   5.448     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.2385E+06   5.377     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.2478E+06   5.394     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.2566E+06   5.409     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.1045E+06   5.019     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.4323E+06   5.636     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.2359E+06   5.373     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.9155E+05   4.962     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.2145E+06   5.331     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.016900   0.274   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.7540E+05   4.877     16.75  0.3152E+05   4.499     12.75  0.3206E+06   5.506
 12.50  0.3756E+06   5.575     16.50  0.5522E+05   4.742     12.50  0.1656E+06   5.219
 12.25  0.5696E+06   5.756     16.25  0.8637E+05   4.936     12.25  0.8935E+05   4.951
 12.00  0.5470E+06   5.738     16.00  0.1161E+06   5.065     12.00  0.2979E+06   5.474
 11.75  0.6183E+06   5.791     15.75  0.3797E+06   5.579     11.75  0.1809E+06   5.257
 11.50  0.6155E+06   5.789     15.50  0.3848E+06   5.585     11.50  0.2261E+06   5.354
 11.25  0.6422E+06   5.808     15.25  0.3926E+06   5.594     11.25  0.2422E+06   5.384
 11.00  0.6408E+06   5.807     15.00  0.4054E+06   5.608     11.00  0.1886E+06   5.275
 10.75  0.6064E+06   5.783     14.75  0.3733E+06   5.572     10.75  0.1816E+06   5.259
 10.50  0.5080E+06   5.706     14.50  0.3341E+06   5.524     10.50  0.1719E+06   5.235
 10.25  0.4675E+06   5.670     14.25  0.4619E+06   5.665     10.25  0.1299E+06   5.114
 10.00  0.3892E+06   5.590     14.00  0.3237E+06   5.510     10.00  0.1248E+06   5.096
  9.75  0.3176E+06   5.502     13.75  0.4278E+06   5.631      9.75  0.9862E+05   4.994
  9.50  0.2824E+06   5.451     13.50  0.3471E+06   5.540      9.50  0.8051E+05   4.906
  9.25  0.2344E+06   5.370     13.25  0.3827E+06   5.583      9.25  0.7173E+05   4.856
  9.00  0.1916E+06   5.283     13.00  0.2704E+06   5.432      9.00  0.6402E+05   4.806
  8.75  0.1523E+06   5.183     12.75  0.2551E+06   5.407      8.75  0.5002E+05   4.699
  8.50  0.1223E+06   5.087     12.50  0.2399E+06   5.380      8.50  0.4236E+05   4.627
  8.25  0.1040E+06   5.017     12.25  0.2158E+06   5.334      8.25  0.3721E+05   4.571
  8.00  0.8549E+05   4.932     12.00  0.1705E+06   5.232      8.00  0.3418E+05   4.534
  7.75  0.6830E+05   4.834     11.75  0.2348E+06   5.371      7.75  0.2939E+05   4.468
  7.50  0.5761E+05   4.761     11.50  0.2010E+06   5.303      7.50  0.2836E+05   4.453
  7.25  0.4746E+05   4.676     11.25  0.2895E+06   5.462      7.25  0.2647E+05   4.423
  7.00  0.4339E+05   4.637     11.00  0.1741E+06   5.241      7.00  0.2473E+05   4.393
  6.75  0.3794E+05   4.579     10.75  0.2188E+06   5.340      6.75  0.2604E+05   4.416
  6.50  0.3388E+05   4.530     10.50  0.1515E+06   5.180      6.50  0.2326E+05   4.367
  6.25  0.3225E+05   4.509     10.25  0.1395E+06   5.144      6.25  0.2382E+05   4.377
  6.00  0.2940E+05   4.468     10.00  0.1374E+06   5.138      6.00  0.2212E+05   4.345
  5.75  0.2572E+05   4.410      9.75  0.9646E+05   4.984      5.75  0.2175E+05   4.337
  5.50  0.2278E+05   4.358      9.50  0.9000E+05   4.954      5.50  0.1917E+05   4.283
  5.25  0.2305E+05   4.363      9.25  0.8213E+05   4.914      5.25  0.1974E+05   4.295
  5.00  0.1936E+05   4.287      9.00  0.6142E+05   4.788      5.00  0.1703E+05   4.231
  4.75  0.1687E+05   4.227      8.75  0.5416E+05   4.734      4.75  0.1508E+05   4.178
  4.50  0.1499E+05   4.176      8.50  0.4534E+05   4.657      4.50  0.1376E+05   4.139
  4.25  0.1375E+05   4.138      8.25  0.4242E+05   4.628      4.25  0.1186E+05   4.074
  4.00  0.1148E+05   4.060      8.00  0.3401E+05   4.532      4.00  0.1048E+05   4.020
  3.75  0.9626E+04   3.983      7.75  0.3111E+05   4.493      3.75  0.8666E+04   3.938
  3.50  0.8408E+04   3.925      7.50  0.2737E+05   4.437      3.50  0.7856E+04   3.895
  3.25  0.7039E+04   3.847      7.25  0.2805E+05   4.448      3.25  0.5779E+04   3.762
  3.00  0.5798E+04   3.763      7.00  0.2585E+05   4.412      3.00  0.5539E+04   3.743
  2.75  0.5400E+04   3.732      6.75  0.2546E+05   4.406      2.75  0.5167E+04   3.713
  2.50  0.4647E+04   3.667      6.50  0.2440E+05   4.387      2.50  0.4339E+04   3.637
  2.25  0.4262E+04   3.630      6.25  0.2397E+05   4.380      2.25  0.3608E+04   3.557
  2.00  0.4176E+04   3.621      6.00  0.2217E+05   4.346      2.00  0.4638E+04   3.666
  1.75  0.3017E+04   3.480      5.75  0.2259E+05   4.354      1.75  0.2824E+04   3.451
  1.50  0.2435E+04   3.387      5.50  0.2001E+05   4.301      1.50  0.2338E+04   3.369
  1.25  0.1314E+04   3.119      5.25  0.1853E+05   4.268      1.25  0.1361E+04   3.134
  1.00  0.1007E+04   3.003      5.00  0.1836E+05   4.264      1.00  0.9185E+03   2.963
  0.75  0.3011E+03   2.479      4.75  0.1571E+05   4.196      0.75  0.2421E+04   3.384
  0.50  0.4280E+03   2.631      4.50  0.1393E+05   4.144      0.50  0.1576E+04   3.197
  0.25  0.3319E+04   3.521      4.25  0.1228E+05   4.089      0.25  0.2532E+03   2.403
  0.00  0.5298E+03   2.724      4.00  0.1082E+05   4.034      0.00  0.2167E+03   2.336
 -0.25  0.2159E+03   2.334      3.75  0.8859E+04   3.947     -0.25  0.1866E+03   2.271
 -0.50  0.2021E+03   2.306      3.50  0.8359E+04   3.922     -0.50  0.1676E+03   2.224
 -0.75  0.1615E+03   2.208      3.25  0.5986E+04   3.777     -0.75  0.1020E+03   2.009
 -1.00  0.1479E+03   2.170      3.00  0.5593E+04   3.748     -1.00  0.8440E+02   1.926
 -1.25  0.1374E+03   2.138      2.75  0.5175E+04   3.714     -1.25  0.6177E+02   1.791
