( Z, Y, Age) = 0.005344   0.243   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
  6.00  0.3754E+05   4.575     10.00  0.1475E+06   5.169      6.00  0.2884E+05   4.460
  5.75  0.3368E+05   4.527      9.75  0.1050E+06   5.021      5.75  0.2731E+05   4.436
  5.50  0.3123E+05   4.495      9.50  0.7692E+05   4.886      5.50  0.2701E+05   4.432
  5.25  0.2752E+05   4.440      9.25  0.6515E+05   4.814      5.25  0.2454E+05   4.390
  5.00  0.2657E+05   4.424      9.00  0.5775E+05   4.762      5.00  0.2439E+05   4.387
  4.75  0.2474E+05   4.393      8.75  0.5136E+05   4.711      4.75  0.2239E+05   4.350
  4.50  0.2254E+05   4.353      8.50  0.4721E+05   4.674      4.50  0.2069E+05   4.316
  4.25  0.2085E+05   4.319      8.25  0.3948E+05   4.596      4.25  0.1951E+05   4.290
  4.00  0.1937E+05   4.287      8.00  0.3583E+05   4.554      4.00  0.1828E+05   4.262
  3.75  0.1895E+05   4.278      7.75  0.3349E+05   4.525      3.75  0.1766E+05   4.247
  3.50  0.1638E+05   4.214      7.50  0.3317E+05   4.521      3.50  0.1547E+05   4.189
  3.25  0.1575E+05   4.197      7.25  0.3074E+05   4.488      3.25  0.1500E+05   4.176
  3.00  0.1365E+05   4.135      7.00  0.2918E+05   4.465      3.00  0.1261E+05   4.101
  2.75  0.1244E+05   4.095      6.75  0.3137E+05   4.496      2.75  0.1134E+05   4.055
  2.50  0.1021E+05   4.009      6.50  0.3142E+05   4.497      2.50  0.9706E+04   3.987
  2.25  0.9116E+04   3.960      6.25  0.3132E+05   4.496      2.25  0.9481E+04   3.977
  2.00  0.7858E+04   3.895      6.00  0.2924E+05   4.466      2.00  0.7029E+04   3.847
  1.75  0.4946E+04   3.694      5.75  0.2778E+05   4.444      1.75  0.4552E+04   3.658
  1.50  0.4160E+04   3.619      5.50  0.2699E+05   4.431      1.50  0.3573E+04   3.553
  1.25  0.3484E+04   3.542      5.25  0.2579E+05   4.412      1.25  0.2974E+04   3.473
  1.00  0.2932E+04   3.467      5.00  0.2451E+05   4.389      1.00  0.2351E+04   3.371
  0.75  0.1056E+04   3.024      4.75  0.2274E+05   4.357      0.75  0.2050E+04   3.312
  0.50  0.6821E+03   2.834      4.50  0.2130E+05   4.328      0.50  0.3573E+04   3.553
  0.25  0.3140E+04   3.497      4.25  0.1973E+05   4.295      0.25  0.3864E+04   3.587
  0.00  0.4360E+04   3.639      4.00  0.1897E+05   4.278      0.00  0.4936E+03   2.693
 -0.25  0.1135E+04   3.055      3.75  0.1756E+05   4.245     -0.25  0.3914E+03   2.593
 -0.50  0.3178E+03   2.502      3.50  0.1600E+05   4.204     -0.50  0.2971E+03   2.473
 -0.75  0.3751E+03   2.574      3.25  0.1503E+05   4.177     -0.75  0.2285E+03   2.359
 -1.00  0.2574E+03   2.411      3.00  0.1289E+05   4.110     -1.00  0.1486E+03   2.172
 -1.25  0.2014E+03   2.304      2.75  0.1241E+05   4.094     -1.25  0.1227E+03   2.089
 -1.50  0.1380E+03   2.140      2.50  0.9589E+04   3.982     -1.50  0.9205E+02   1.964
 -1.75  0.1067E+03   2.028      2.25  0.9527E+04   3.979     -1.75  0.1029E+03   2.012
 -2.00  0.9068E+02   1.958      2.00  0.7524E+04   3.876     -2.00  0.3697E+02   1.568
 -2.25  0.7386E+02   1.868      1.75  0.4651E+04   3.668     -2.25  0.6870E+01   0.837
 -2.50  0.5745E+02   1.759      1.50  0.3657E+04   3.563     -2.50  0.2115E-02  -2.675
 -2.75  0.4746E+02   1.676      1.25  0.2964E+04   3.472     -2.75  0.0000E+00   0.000
 -3.00  0.3819E+02   1.582      1.00  0.2383E+04   3.377     -3.00  0.0000E+00   0.000
 -3.25  0.3179E+02   1.502      0.75  0.1439E+04   3.158     -3.25  0.0000E+00   0.000
 -3.50  0.3642E+02   1.561      0.50  0.3413E+04   3.533     -3.50  0.0000E+00   0.000
 -3.75  0.2361E+02   1.373      0.25  0.4122E+04   3.615     -3.75  0.0000E+00   0.000
 -4.00  0.3115E-02  -2.507      0.00  0.1038E+04   3.016     -4.00  0.0000E+00   0.000
 -4.25  0.0000E+00   0.000     -0.25  0.4008E+03   2.603     -4.25  0.0000E+00   0.000
 -4.50  0.0000E+00   0.000     -0.50  0.3308E+03   2.520     -4.50  0.0000E+00   0.000
 -4.75  0.0000E+00   0.000     -0.75  0.2415E+03   2.383     -4.75  0.0000E+00   0.000
 -5.00  0.0000E+00   0.000     -1.00  0.1705E+03   2.232     -5.00  0.0000E+00   0.000
 -5.25  0.0000E+00   0.000     -1.25  0.1235E+03   2.092     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.1051E+03   2.022     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.9710E+02   1.987     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.5957E+02   1.775     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.1500E+02   1.176     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.6324E+00  -0.199     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.4797E-03  -3.319     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.0000E+00   0.000     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.0000E+00   0.000     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.0000E+00   0.000     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.0000E+00   0.000     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.0000E+00   0.000     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.8929E+06   5.951     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.1179E+07   6.072     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.9596E+06   5.982     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00 -0.4790E+06   0.000     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.2215E+07   6.345     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50 -0.9214E+06   0.000     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.005344   0.243  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.9166E+06   5.962
