( Z, Y, Age) = 0.009504   0.254   8.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -6.00  0.0000E+00   0.000     -2.00  0.0000E+00   0.000     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.3207E+06   5.506     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.3624E+06   5.559     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.3707E+06   5.569     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.4070E+06   5.610     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.4339E+06   5.637     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.4495E+06   5.653     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.3724E+06   5.571     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.2314E+06   5.364     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.2776E+06   5.443     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.7355E+06   5.867     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.3783E+06   5.578     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.3275E+06   5.515     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.1765E+06   5.247     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.2383E+06   5.377     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.009504   0.254  11.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.2037E+06   5.309     16.75  0.0000E+00   0.000     12.75  0.6924E+06   5.840
